course,hole,field,issue,action_needed
st_pierre_old,8,hole_name,No official hole name located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,8,pro_tip,No official per-hole tip located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,9,hole_name,No official hole name located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,9,pro_tip,No official per-hole tip located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,10,hole_name,No official hole name located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,10,pro_tip,No official per-hole tip located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,11,hole_name,No official hole name located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,11,pro_tip,No official per-hole tip located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,12,hole_name,No official hole name located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,12,pro_tip,No official per-hole tip located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,13,hole_name,No official hole name located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,13,pro_tip,No official per-hole tip located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,14,hole_name,No official hole name located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,14,pro_tip,No official per-hole tip located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,15,hole_name,No official hole name located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,15,pro_tip,No official per-hole tip located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,16,hole_name,No official hole name located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,16,pro_tip,No official per-hole tip located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,17,hole_name,No official hole name located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,17,pro_tip,No official per-hole tip located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,18,hole_name,No official hole name located in accessible sources.,Leave blank unless an official hole guide is found.
st_pierre_old,18,pro_tip,No official per-hole tip located in accessible sources.,Leave blank unless an official hole guide is found.
